versao,n,threads,tempo_medio,desvio_padrao
seq,100000,1,0.001293200,0.000109953
seq,500000,1,0.006464200,0.000157036
seq,1000000,1,0.013583800,0.000761630
ingenua,100000,1,0.001330600,0.000129905
ingenua,100000,2,0.000729200,0.000127274
ingenua,100000,4,0.000518400,0.000019832
ingenua,100000,8,0.000357600,0.000048159
ingenua,100000,16,0.000416000,0.000177513
ingenua,500000,1,0.006631200,0.000373980
ingenua,500000,2,0.003305400,0.000153955
ingenua,500000,4,0.002135200,0.000087061
ingenua,500000,8,0.001844000,0.000293078
ingenua,500000,16,0.001508600,0.000238685
ingenua,1000000,1,0.012998200,0.000444492
ingenua,1000000,2,0.006994600,0.000405503
ingenua,1000000,4,0.004651000,0.000582620
ingenua,1000000,8,0.003395800,0.000596272
ingenua,1000000,16,0.003498800,0.000172292
arrumada,100000,1,0.001273400,0.000064088
arrumada,100000,2,0.000677800,0.000060776
arrumada,100000,4,0.000421600,0.000091175
arrumada,100000,8,0.000476200,0.000093170
arrumada,100000,16,0.000451600,0.000074561
arrumada,500000,1,0.006354400,0.000135338
arrumada,500000,2,0.003627000,0.000391476
arrumada,500000,4,0.002328000,0.000283925
arrumada,500000,8,0.001514400,0.000101204
arrumada,500000,16,0.001515000,0.000329482
arrumada,1000000,1,0.013250000,0.000794417
arrumada,1000000,2,0.006782000,0.000159121
arrumada,1000000,4,0.006002200,0.003593557
arrumada,1000000,8,0.003404800,0.000343312
arrumada,1000000,16,0.002877800,0.000150357
