versao,n,threads,tempo_medio,desvio_padrao
seq,100000,1,0.000018200,0.000007155
seq,500000,1,0.000093200,0.000007328
seq,1000000,1,0.000127800,0.000019677
simd,100000,1,0.000013400,0.000000548
simd,500000,1,0.000086600,0.000034602
simd,1000000,1,0.000127800,0.000054619
parallel_simd,100000,1,0.000044800,0.000076699
parallel_simd,100000,2,0.000025000,0.000034110
parallel_simd,100000,4,0.000021200,0.000026725
parallel_simd,100000,8,0.000069600,0.000061411
parallel_simd,100000,16,0.000110800,0.000103681
parallel_simd,500000,1,0.000126000,0.000056476
parallel_simd,500000,2,0.000056800,0.000047736
parallel_simd,500000,4,0.000049800,0.000047156
parallel_simd,500000,8,0.000093400,0.000108219
parallel_simd,500000,16,0.000136800,0.000136098
parallel_simd,1000000,1,0.000128400,0.000054893
parallel_simd,1000000,2,0.000145400,0.000162069
parallel_simd,1000000,4,0.000085600,0.000101165
parallel_simd,1000000,8,0.000096200,0.000074449
parallel_simd,1000000,16,0.000131400,0.000103103
